,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
국내총생산(명목GDP),"68,080.1","78,591.3","88,129.7","102,985.8","121,697.8","145,994.7","165,801.8","200,556.2","242,481.1","277,540.8","315,181.3","372,493.4","436,988.8","490,850.9","542,001.8","537,215.3","591,453.0","651,634.4","707,021.3","784,741.3","837,365.0","908,439.2","957,447.8","1,005,601.5","1,089,660.2","1,154,216.5","1,205,347.7","1,322,611.2","1,388,937.2","1,440,111.4","1,500,819.1","1,562,928.9","1,658,020.4","1,740,779.6","1,835,698.2","1,898,192.6","1,924,498.1","1,940,726.2","2,071,658.0","2,150,575.8"
경제성장률(실질GDP성장률),13.4,10.6,7.8,11.3,12.7,12.0,7.1,9.9,10.8,6.2,6.9,9.3,9.6,7.9,6.2,-5.1,11.5,9.1,4.9,7.7,3.1,5.2,4.3,5.3,5.8,3.0,0.8,6.8,3.7,2.4,3.2,3.2,2.8,2.9,3.2,2.9,2.2,-0.7,4.1,2.6
